campaign,npc,order,appear,leave
wilds,Addie_Applewood,1,15049.3.22,15049.3.23
wilds,Addie_Applewood,2,15049.3.25,
plus,Alex,1,15051.5.4,15051.5.5
legends,Alfenor,1,10836.4.1,
legends,Alfenor,2,10836.4.3,
lite,Alfenor,3,15048.11.17,
lite,Alfenor,4,15048.12.1,15048.12.2
rugatha,Alfie_Fuller,1,15048.7.18,
rugatha,Alfie_Fuller,2,15048.7.23,
plus,Andrea_Day,1,15051.5.3,15051.5.4
lite,Anna,1,15048.11.17,
lite,Anna,2,15048.12.1,
lite,Anna,3,15048.12.3,15048.12.4
wilds,Bartosz_Richmond,1,15049.3.16,15049.3.18
legends,Basuu,1,15048.12.3,15048.12.4
rugatha,Beau,1,15048.11.15,
plus,Beau,2,15048.11.16,15048.11.17
plus,Beau,3,15050.11.18,15050.11.21
plus,Beau,4,15051.5.4,15051.5.9
plus,Beau,5,15051.5.11,
rugatha,Benny_Cozlothramuda,1,15048.7.22,15048.7.23
lite,Bernard_Norm,1,15048.12.2,15048.12.3
legends,Bishop_Robinson,1,15022,
plus,Bishop_Robinson,2,15051.5.9,
plus,Bishop_Robinson,3,15051.5.11,
legends,BoBoCBoBoZ,1,15048.11.30,
legends,BoBoVBoBoW,1,15021.12.10,
rugatha,Brock,1,15048.11.9,15048.11.13
rugatha,Bruce_Dunham,1,15048.7.18,15048.7.19
rugatha,Bruce_Dunham,2,15048.7.22,15048.7.23
wilds,Bruce_Tallis,1,15049.3.20,
legends,Captain_Marin,1,15022,
plus,Captain_Marin,2,15051.5.6,15051.5.7
wilds,Captain_Reid,1,15049.5.21,15049.5.22
wilds,Cash_Applewood,1,15049.3.22,15049.3.23
wilds,Cash_Applewood,2,15049.3.25,
rugatha,Cena,1,15048.10.2,15048.10.3
rugatha,Cena,2,15048.11.7,15048.11.8
rugatha,Cena,3,15048.11.10,15048.11.11
rugatha,Cena,4,15048.11.14,
legends,ChiChi,1,15049.6.22,
legends,ChiChi,2,15049.6.24,
wilds,Colonel_Lisdar,1,15049.5.20,15049.5.21
wilds,Connie_Cornell,1,15049.3.22,15049.3.25
rugatha,Daryl_Warren,1,15048.7.18,15048.7.19
rugatha,Daryl_Warren,2,15048.7.22,15048.7.23
lite,Dennis,1,15048.12.2,
lite,Dennis,2,15048.12.4,
rugatha,Domneil,1,15048.7.23,
rugatha,Domneil,2,15048.10.2,
plus,Domneil,3,15048.11.17,
plus,Domneil,4,15050.11.21,
plus,Domneil,5,15051.5.8,
legends,Dosuu,1,15048.12.3,15048.12.4
plus,Dr_Chandra_Pyresong,1,15051.5.3,15051.5.5
lite,Dr_Crow,1,15051.5.9,15051.5.10
legends,Dr_Crow,2,15048.6.5,15048.6.5
rugatha,Dr_David,1,15048.11.7,15048.11.10
rugatha,Dr_David,2,15048.11.14,
plus,Dr_David,3,15048.11.16,
lite,Dr_David,4,15048.12.2,
lite,Dr_David,5,15048.12.4,
plus,Dr_Vaxon,1,15050.11.21,
plus,Dudu,1,15050.11.21,
rugatha,Edmond,1,15048.11.10,15048.11.12
plus,Elby__Dr_White,1,15048.11.16,15048.11.17
wilds,Elly_Riversend,1,15049.3.22,15049.3.23
wilds,Elly_Riversend,2,15049.3.25,
legends,Elmond,1,10836.4.1,
legends,Elmond,2,10836.4.3,
wilds,Enelmor_Arylith,1,15049.5.1,15049.5.4
plus,Essis,1,15051.5.6,15051.5.8
lite,Eva,1,15051.5.9,15051.5.10
wilds,Evil_Be4,1,15049.3.22,15049.3.25
legends,Fallon,1,10836.4.1,
legends,Fallon,2,10836.4.3,
rugatha,Father_Kaulton,1,15048.7.19,
rugatha,Father_Kaulton,2,15048.7.22,15048.7.23
rugatha,Frankie,1,15048.11.8,15048.11.10
rugatha,Frankie,2,15048.11.12,
rugatha,Frankie,3,15048.11.14,
rugatha,Franz,1,15048.11.11,15048.11.12
rugatha,Franz,2,15048.11.14,
plus,Franz,3,15048.11.16,15050.11.18
wilds,Frederick_Norman,1,15049.3.20,15049.3.21
legends,Frederick_Norman,2,15048.12.3,15048.12.3
rugatha,Gareth_Berners,1,15048.11.10,15048.11.11
lite,Gareth_Berners,2,15048.12.2,
rugatha,Gary,1,15048.7.20,
rugatha,Gary,2,15048.11.8,15048.11.11
lite,Gary,3,15048.12.5,
lite,Gary,4,15049.9.3,15049.9.7
lite,Gary,5,15051.5.9,
